id,stroke
15304,0.48446711897850036621093750000000
15305,0.82511579990386962890625000000000
15306,0.00508582452312111854553222656250
15307,0.55005753040313720703125000000000
15308,0.17189964652061462402343750000000
15309,0.28083249926567077636718750000000
15310,0.11733976006507873535156250000000
15311,0.56338459253311157226562500000000
15312,0.00407652510330080986022949218750
15313,0.43327125906944274902343750000000
15314,0.38143715262413024902343750000000
15315,0.85444182157516479492187500000000
15316,0.05469632521271705627441406250000
15317,0.06514558196067810058593750000000
15318,0.37848260998725891113281250000000
15319,0.00451169814914464950561523437500
15320,0.01054449193179607391357421875000
15321,0.04500430077314376831054687500000
15322,0.42771512269973754882812500000000
15323,0.41785266995429992675781250000000
15324,0.06576868891716003417968750000000
15325,0.00081407453399151563644409179688
15326,0.00324821053072810173034667968750
15327,0.25915858149528503417968750000000
15328,0.35183081030845642089843750000000
15329,0.23070354759693145751953125000000
15330,0.02421408891677856445312500000000
15331,0.52770161628723144531250000000000
15332,0.02176308445632457733154296875000
15333,0.37207865715026855468750000000000
15334,0.82287931442260742187500000000000
15335,0.08158464729785919189453125000000
15336,0.30647382140159606933593750000000
15337,0.75650036334991455078125000000000
15338,0.66067713499069213867187500000000
15339,0.00437812786549329757690429687500
15340,0.87422752380371093750000000000000
15341,0.41603735089302062988281250000000
15342,0.01642964221537113189697265625000
15343,0.09113308042287826538085937500000
15344,0.01835291646420955657958984375000
15345,0.09811087697744369506835937500000
15346,0.00175637088250368833541870117188
15347,0.51647555828094482421875000000000
15348,0.46596583724021911621093750000000
15349,0.00501166749745607376098632812500
15350,0.53161573410034179687500000000000
15351,0.02932818606495857238769531250000
15352,0.86761546134948730468750000000000
15353,0.05272736772894859313964843750000
15354,0.00876578222960233688354492187500
15355,0.00528002344071865081787109375000
15356,0.00563553953543305397033691406250
15357,0.10211542248725891113281250000000
15358,0.95094281435012817382812500000000
15359,0.01203659735620021820068359375000
15360,0.59066998958587646484375000000000
15361,0.08931244909763336181640625000000
15362,0.47845414280891418457031250000000
15363,0.04893000051379203796386718750000
15364,0.23249097168445587158203125000000
15365,0.51515078544616699218750000000000
15366,0.11274693161249160766601562500000
15367,0.03618003800511360168457031250000
15368,0.87442332506179809570312500000000
15369,0.01894758269190788269042968750000
15370,0.66037625074386596679687500000000
